,Seller ID,Seller Name,"City, State",Brands Offered,Product Categories,Average Rating,Number of Reviews,Total Sales,Average Order Value (₹),Response Time (hrs)
0,S447,Seller S447,"Chennai, Tamil Nadu","['Pigeon', 'boAt', 'Mysore Silk Sarees', 'Bajaj', 'Lava Mobiles']",['Accessories'],4.1,13.0,25.4,1054,9
1,S126,Seller S126,"Bengaluru, Karnataka","['Bajaj', 'Havells', 'Zebronics']","['Home Decor', 'Appliances', 'Electronics', 'Accessories', 'Handicrafts']",4.9,19.5,44.5,1012,13
2,S873,Seller S873,"Chennai, Tamil Nadu","['Mysore Silk Sarees', 'Pigeon', 'boAt', 'Kanchipuram Saris']","['Mobiles', 'Home Decor', 'Clothing', 'Appliances']",4.2,16.6,11.8,4283,1
3,S563,Seller S563,"Mumbai, Maharashtra","['Manyavar', 'Zebronics', 'Havells', 'Usha', 'Prestige', 'Kanchipuram Saris']","['Bakeware', 'Mobiles', 'Handicrafts']",5.0,6.7,36.6,4109,5
4,S416,Seller S416,"Mumbai, Maharashtra","['Pigeon', 'Lava Mobiles', 'Kanchipuram Saris']",['Bakeware'],4.7,15.9,35.8,4242,1
5,S809,Seller S809,"Bengaluru, Karnataka","['Mysore Silk Sarees', 'Flipkart (in-house)', 'Kanchipuram Saris', 'Lava Mobiles']","['Ethnic Wear', 'Appliances', 'Kitchenware']",4.9,22.7,32.2,3487,22
6,S600,Seller S600,"Bengaluru, Karnataka","['Pigeon', 'Havells', 'Zebronics']","['Electronics', 'Mobiles', 'Appliances', 'Kitchenware']",4.4,18.2,8.1,1089,12
7,S756,Seller S756,"Bengaluru, Karnataka","['Lava Mobiles', 'Mysore Silk Sarees']","['Accessories', 'Appliances', 'Home Decor', 'Ethnic Wear', 'Kitchenware']",4.8,2.2,34.9,2310,13
8,S285,Seller S285,"Delhi, NCR","['Prestige', 'Mysore Silk Sarees', 'Kanchipuram Saris', 'boAt', 'Flipkart (in-house)']",['Mobiles'],4.0,5.8,44.9,3208,1
9,S584,Seller S584,"Srinagar, J&K","['Usha', 'Kanchipuram Saris', 'Bajaj', 'Mysore Silk Sarees', 'boAt']",['Electronics'],4.5,1.5,20.9,2981,5
10,S286,Seller S286,"Srinagar, J&K",['Pigeon'],"['Ethnic Wear', 'Kitchenware', 'Clothing', 'Bakeware']",4.3,14.4,4.3,3532,12
11,S184,Seller S184,"Bengaluru, Karnataka","['Usha', 'Flipkart (in-house)']","['Kitchenware', 'Accessories', 'Bakeware', 'Handicrafts', 'Home Decor']",4.4,0.8,33.5,3902,1
12,S733,Seller S733,"Mumbai, Maharashtra","['Manyavar', 'Prestige', 'Lava Mobiles', 'Bajaj']",['Mobiles'],4.5,3.5,49.7,1627,14
13,S945,Seller S945,"Chennai, Tamil Nadu",['boAt'],"['Bakeware', 'Home Decor', 'Accessories', 'Mobiles', 'Ethnic Wear']",4.7,19.8,19.5,1457,4
14,S575,Seller S575,"Delhi, NCR","['boAt', 'Bajaj', 'Manyavar']","['Appliances', 'Kitchenware', 'Mobiles']",4.3,11.9,48.7,3098,24
15,S596,Seller S596,"Mumbai, Maharashtra",['Mysore Silk Sarees'],['Home Decor'],4.4,17.7,9.6,2745,7
16,S111,Seller S111,"Delhi, NCR","['Prestige', 'Bajaj', 'Havells']","['Clothing', 'Kitchenware', 'Ethnic Wear', 'Mobiles']",4.6,6.2,23.2,4043,19
17,S742,Seller S742,"Bengaluru, Karnataka","['Havells', 'Lava Mobiles', 'boAt', 'Flipkart (in-house)', 'Bajaj']","['Bakeware', 'Appliances', 'Kitchenware', 'Electronics', 'Accessories']",4.5,18.0,27.6,2326,7
18,S180,Seller S180,"Srinagar, J&K","['Havells', 'Flipkart (in-house)', 'Prestige', 'Kanchipuram Saris', 'Mysore Silk Sarees']","['Clothing', 'Appliances', 'Home Decor', 'Bakeware']",4.0,0.5,11.2,3072,8
19,S616,Seller S616,"Delhi, NCR",['Usha'],"['Appliances', 'Mobiles', 'Kitchenware', 'Ethnic Wear', 'Bakeware']",4.7,3.4,16.8,2919,4
20,S703,Seller S703,"Mumbai, Maharashtra","['Flipkart (in-house)', 'boAt', 'Prestige', 'Pigeon', 'Lava Mobiles']",['Mobiles'],4.4,14.9,4.5,3130,14
21,S555,Seller S555,"Delhi, NCR","['Zebronics', 'Manyavar', 'Flipkart (in-house)', 'Lava Mobiles']","['Ethnic Wear', 'Handicrafts', 'Electronics', 'Accessories', 'Kitchenware']",4.3,8.4,11.5,2563,18
22,S656,Seller S656,"Chennai, Tamil Nadu","['Flipkart (in-house)', 'Havells', 'Kanchipuram Saris', 'Pigeon']",['Appliances'],4.6,14.0,38.2,1667,24
23,S496,Seller S496,"Chennai, Tamil Nadu","['Flipkart (in-house)', 'Kanchipuram Saris', 'Havells', 'Prestige', 'Zebronics']","['Clothing', 'Bakeware', 'Accessories']",4.2,3.5,38.6,3665,24
24,S724,Seller S724,"Chennai, Tamil Nadu","['Pigeon', 'Mysore Silk Sarees']","['Accessories', 'Electronics', 'Bakeware', 'Handicrafts']",4.9,2.0,7.2,2131,12
25,S846,Seller S846,"Chennai, Tamil Nadu","['Manyavar', 'Usha']","['Home Decor', 'Mobiles', 'Clothing', 'Accessories', 'Electronics']",4.8,3.0,8.6,3217,3
26,S510,Seller S510,"Bengaluru, Karnataka","['Havells', 'Zebronics']",['Appliances'],4.4,16.0,39.0,4959,18
27,S325,Seller S325,"Bengaluru, Karnataka","['Prestige', 'Mysore Silk Sarees', 'boAt', 'Bajaj']","['Appliances', 'Home Decor', 'Kitchenware', 'Accessories', 'Handicrafts']",4.9,4.2,14.8,4708,11
28,S484,Seller S484,"Chennai, Tamil Nadu","['Zebronics', 'Manyavar']","['Clothing', 'Kitchenware']",4.7,8.7,10.0,2741,4
